Ref Program,Program,Total Score Winnowing,Similarity Score,Syntax/Style Score
ref.py,Correct\001.py,0.431,25.86,78
ref.py,Correct\002.py,1.0,100.0,96
ref.py,Correct\003.py,1.0,100.0,98
ref.py,Correct\004.py,0.8330000000000001,83.30000000000001,97
ref.py,Correct\005.py,0.81,48.6,95
ref.py,Correct\006.py,0.81,48.6,97
ref.py,Correct\007.py,0.494,29.64,94
ref.py,Correct\008.py,0.618,37.08,95
ref.py,Correct\009.py,0.592,35.519999999999996,93
ref.py,Correct\010.py,0.46199999999999997,46.199999999999996,95
ref.py,Correct\011.py,0.599,35.94,99
ref.py,Correct\012.py,0.8630000000000001,86.30000000000001,99
ref.py,Correct\013.py,0.609,36.54,94
ref.py,Correct\014.py,0.5640000000000001,56.400000000000006,96
ref.py,Correct\015.py,0.408,24.479999999999997,97
ref.py,Correct\016.py,0.8130000000000001,48.78,98
ref.py,Correct\017.py,0.8130000000000001,48.78,94
ref.py,Correct\018.py,0.651,39.06,97
ref.py,Correct\019.py,0.703,42.18,97
ref.py,Correct\020.py,0.498,49.8,97
ref.py,Correct\021.py,0.546,32.760000000000005,94
ref.py,Correct\022.py,0.392,23.52,88
ref.py,Correct\023.py,0.8630000000000001,86.30000000000001,96
ref.py,Correct\024.py,1.0,100.0,98
ref.py,Correct\025.py,0.588,35.28,94
ref.py,Correct\026.py,0.874,87.4,98
ref.py,Correct\027.py,0.34700000000000003,34.7,97
ref.py,Correct\028.py,0.6920000000000001,41.52,91
ref.py,Correct\029.py,0.48900000000000005,29.340000000000003,93
ref.py,Correct\030.py,0.746,44.76,99
ref.py,Correct\031.py,0.8220000000000001,49.32000000000001,91
ref.py,Correct\032.py,0.715,42.9,99
ref.py,Correct\033.py,0.503,30.18,99
ref.py,Correct\034.py,0.73,73.0,99
ref.py,Correct\035.py,0.637,38.22,99
ref.py,Correct\036.py,0.765,45.9,99
ref.py,Correct\037.py,0.789,47.34,98
ref.py,Correct\038.py,0.9010000000000001,90.10000000000001,97
ref.py,Correct\039.py,0.858,85.8,99
ref.py,Correct\040.py,0.602,36.12,99
ref.py,Correct\041.py,0.715,42.9,99
ref.py,Correct\042.py,0.8630000000000001,86.30000000000001,93
ref.py,Correct\043.py,0.81,48.6,97
ref.py,Correct\044.py,0.723,43.379999999999995,99
ref.py,Correct\045.py,0.73,43.8,98
ref.py,Correct\047.py,0.8130000000000001,48.78,98
ref.py,Correct\048.py,0.697,69.69999999999999,96
ref.py,Correct\049.py,0.715,42.9,99
ref.py,Correct\050.py,0.738,44.28,97
ref.py,Correct\051.py,0.679,40.74,96
ref.py,Correct\052.py,0.79,79.0,96
ref.py,Correct\053.py,0.81,48.6,97
ref.py,Correct\054.py,1.0,100.0,99
ref.py,Correct\055.py,0.487,48.699999999999996,98
ref.py,Correct\056.py,0.707,42.419999999999995,96
ref.py,Correct\057.py,0.762,45.72,97
ref.py,Correct\058.py,0.382,22.92,87
ref.py,Correct\060.py,0.777,46.620000000000005,96
ref.py,Correct\061.py,0.765,45.9,99
ref.py,Correct\062.py,0.639,38.34,94
ref.py,Correct\063.py,0.634,38.04,92
ref.py,Correct\064.py,0.642,64.2,97
ref.py,Correct\065.py,0.8630000000000001,86.30000000000001,97
ref.py,Correct\066.py,0.769,76.9,96
ref.py,Correct\067.py,0.81,48.6,95
ref.py,Correct\068.py,0.577,34.62,95
ref.py,Correct\069.py,0.8130000000000001,48.78,96
ref.py,Correct\070.py,0.763,45.78,97
ref.py,Correct\071.py,0.379,22.740000000000002,95
ref.py,Correct\072.py,0.365,36.5,98
ref.py,Correct\073.py,0.679,40.74,95
ref.py,Correct\074.py,0.738,44.28,95
ref.py,Correct\075.py,0.803,48.18,92
ref.py,Correct\076.py,0.644,38.64,99
ref.py,Correct\077.py,0.805,48.300000000000004,99
ref.py,Correct\078.py,0.9769999999999999,97.69999999999999,99
ref.py,Correct\079.py,0.376,22.56,52
ref.py,Correct\080.py,0.8630000000000001,86.30000000000001,99
ref.py,Correct\081.py,0.48000000000000004,28.8,94
ref.py,Correct\082.py,0.6880000000000001,68.80000000000001,98
ref.py,Correct\083.py,0.8130000000000001,48.78,99
ref.py,Correct\084.py,0.81,48.6,96
ref.py,Correct\085.py,0.637,38.22,95
ref.py,Correct\086.py,0.676,40.56,99
ref.py,Correct\087.py,0.441,26.46,99
ref.py,Correct\088.py,0.8910000000000001,89.10000000000001,99
ref.py,Correct\089.py,0.518,31.080000000000002,95
ref.py,Correct\090.py,0.752,75.2,95
ref.py,Correct\091.py,0.89,89.0,98
ref.py,Correct\092.py,0.658,39.480000000000004,99
ref.py,Correct\093.py,0.631,37.86,97
ref.py,Correct\094.py,1.0,100.0,99
ref.py,Correct\095.py,0.586,35.16,98
ref.py,Correct\096.py,0.697,69.69999999999999,98
ref.py,Correct\097.py,0.8130000000000001,48.78,98
ref.py,Correct\098.py,0.747,44.82,96
