compress-ref.py,1.py,0
compress-ref.py,2.py,1
compress-ref.py,3.py,1
compress-ref.py,4.py,0.7
compress-ref.py,5.py,0.7
compress-ref.py,6.py,0.7
compress-ref.py,7.py,0.225
compress-ref.py,8.py,0.5
compress-ref.py,9.py,0.2
compress-ref.py,10.py,0
compress-ref.py,11.py,0
compress-ref.py,12.py,1
compress-ref.py,13.py,0
compress-ref.py,14.py,0.4
compress-ref.py,15.py,0
compress-ref.py,16.py,0.7
compress-ref.py,17.py,0.7
compress-ref.py,18.py,0
compress-ref.py,19.py,0.475
compress-ref.py,20.py,0.3
compress-ref.py,21.py,0
compress-ref.py,22.py,0
compress-ref.py,23.py,0.8
compress-ref.py,24.py,1
compress-ref.py,25.py,0
compress-ref.py,26.py,0.8
compress-ref.py,27.py,0.7
compress-ref.py,28.py,0.5
compress-ref.py,29.py,0
compress-ref.py,30.py,0
compress-ref.py,31.py,0.2
compress-ref.py,32.py,0.4
compress-ref.py,33.py,0.6
compress-ref.py,34.py,0.1
compress-ref.py,35.py,0
compress-ref.py,36.py,0.4
compress-ref.py,37.py,0.3
compress-ref.py,38.py,1
compress-ref.py,39.py,0.7
compress-ref.py,40.py,0
compress-ref.py,41.py,0.4
compress-ref.py,42.py,1
compress-ref.py,43.py,0.7
compress-ref.py,44.py,0.3
compress-ref.py,45.py,0
compress-ref.py,46.py,0
compress-ref.py,47.py,0.7
compress-ref.py,48.py,0.7
compress-ref.py,49.py,0.7
compress-ref.py,50.py,0.475
compress-ref.py,51.py,0.575
compress-ref.py,52.py,0.7
compress-ref.py,53.py,0.7
compress-ref.py,54.py,1
compress-ref.py,55.py,0.7
compress-ref.py,56.py,EMPTY SUBMISSION
compress-ref.py,57.py,0
compress-ref.py,58.py,0.7
compress-ref.py,59.py,0
compress-ref.py,60.py,0
compress-ref.py,61.py,0.475
compress-ref.py,62.py,0.6
compress-ref.py,63.py,0.5
compress-ref.py,64.py,0.3
compress-ref.py,65.py,0.6
compress-ref.py,66.py,0.6
compress-ref.py,67.py,0.7
compress-ref.py,68.py,0.6
compress-ref.py,69.py,0
compress-ref.py,70.py,EMPTY SUBMISSION
compress-ref.py,71.py,0.6
compress-ref.py,72.py,0.4
compress-ref.py,73.py,0
compress-ref.py,74.py,0
compress-ref.py,75.py,0.45
compress-ref.py,76.py,0.4
compress-ref.py,77.py,0.6
compress-ref.py,78.py,0.35
compress-ref.py,79.py,0.6
compress-ref.py,80.py,1
compress-ref.py,81.py,0
compress-ref.py,82.py,0.9
compress-ref.py,83.py,0
compress-ref.py,84.py,0.7
compress-ref.py,85.py,0.7
compress-ref.py,86.py,0.7
compress-ref.py,87.py,0.3
compress-ref.py,88.py,0.175
compress-ref.py,89.py,0.4
compress-ref.py,90.py,0.7
compress-ref.py,91.py,0
compress-ref.py,92.py,0.4
compress-ref.py,93.py,0.9
compress-ref.py,94.py,0.525
compress-ref.py,95.py,0.7
compress-ref.py,96.py,1
compress-ref.py,97.py,0
compress-ref.py,98.py,0.7
compress-ref.py,99.py,0.8
compress-ref.py,100.py,0.475
